timestamp,value,Games,Wins
2025-09-16T00:00:00.000Z,Twos_Silver_Style_TimeskipToru,235,147
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_TimeskipTobio2,3482,1564
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_SteelBlock,6042,2535
2025-09-16T00:00:00.000Z,Twos_Silver_Style_TimeskipTobio2,5223,2660
2025-09-16T00:00:00.000Z,Twos_Silver_Ability_CurveSpike,2686,1355
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Mikage,543,312
2025-09-16T00:00:00.000Z,Twos_Silver_Ability_MagneticPull,4412,2381
2025-09-16T00:00:00.000Z,Twos_Silver_Ability_ShieldBreaker,4710,2562
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Wakatoshi,2601,918
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Kotaru,3069,1288
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_MagneticPull,2080,1030
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Shinsuke,162,68
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_CurveSpike,2570,1058
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_Moonball,3600,1419
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Daichi,512,157
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_DivineStrength,1397,596
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Rintaro,9822,5187
2025-09-16T00:00:00.000Z,Twos_Silver_Ability_FourthTouch,1660,867
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Wakatoshi,1287,576
2025-09-16T00:00:00.000Z,Twos_Silver_Ability_RedirectionJump,2463,1280
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Rintaro,1953,911
2025-09-16T00:00:00.000Z,Threes_Bronze_Ability_SteelBlock,1835,740
2025-09-16T00:00:00.000Z,Threes_Bronze_Ability_ZeroGravitySet,1072,394
2025-09-16T00:00:00.000Z,Threes_Bronze_Ability_ShieldBreaker,916,419
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Daichi,102,26
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Hirugami,247,102
2025-09-16T00:00:00.000Z,Threes_Bronze_Ability_Moonball,887,335
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Jester,742,341
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Kimiro,492,191
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Hirugami,760,287
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_ZeroGravitySet,4619,1689
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Rintaro,6538,3113
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_TeamSpirit,1388,495
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_RedirectionJump,1819,785
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_TimeskipShoyo2,1683,840
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_BoomJump,4657,1925
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_RollingThunder,1264,447
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Twin2,224,136
2025-09-16T00:00:00.000Z,Twos_Gold_Ability_MagneticPull,2897,1512
2025-09-16T00:00:00.000Z,Twos_Gold_Style_TimeskipShoyo2,2548,1329
2025-09-16T00:00:00.000Z,Twos_Gold_Ability_RedirectionJump,1400,732
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Rintaro,5118,2668
2025-09-16T00:00:00.000Z,Twos_Gold_Ability_BoomJump,1633,859
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Toru,1455,554
2025-09-16T00:00:00.000Z,Twos_Silver_Ability_ZeroGravitySet,2963,1350
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Jester,3475,1770
