timestamp,value,Games,Wins,Mvps
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Yogan,3,2,1
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_TimeskipTobio2,15972,8782,4728
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Hirugami,302,171,50
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Twin2,298,213,82
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Yu,1,0,0
2025-09-27T00:00:00.000Z,Sixes_Gold_Ability_CurveSpike,2,2,0
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Kimiro,4093,1696,942
2025-09-27T00:00:00.000Z,Twos_Diamond_Ability_RedirectionJump,5,2,2
2025-09-27T00:00:00.000Z,Threes_Gold_Style_Kazana,6,4,3
2025-09-27T00:00:00.000Z,Threes_Silver_Style_TimeskipToru,148,109,50
2025-09-27T00:00:00.000Z,Threes_Gold_Style_Jester,2,2,1
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Toru,311,141,40
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Morisuke,31,5,0
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Shoyo,1,1,0
2025-09-27T00:00:00.000Z,Threes_Gold_Ability_FourthTouch,23,12,4
2025-09-27T00:00:00.000Z,Fours_Silver_Ability_Moonball,148,63,12
2025-09-27T00:00:00.000Z,Sixes_Gold_Ability_ShieldBreaker,26,26,2
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Lev,404,69,30
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Kazana,17,7,3
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Tetsuro,483,131,25
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Kei,1,1,1
2025-09-27T00:00:00.000Z,Threes_Gold_Style_Mikage,7,5,3
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Hirugami,783,286,72
2025-09-27T00:00:00.000Z,Twos_Bronze_Ability_DivineStrength,7183,2739,1322
2025-09-27T00:00:00.000Z,Sixes_Bronze_Ability_MagneticPull,188,106,25
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Tadashi,38,7,2
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Tobio,3370,1313,730
2025-09-27T00:00:00.000Z,Threes_Silver_Ability_MagneticPull,3772,2450,918
2025-09-27T00:00:00.000Z,Threes_Gold_Style_Rintaro,53,35,2
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Ryunosuke,354,79,32
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Toru,53,20,3
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Tetsuro,2,2,0
2025-09-27T00:00:00.000Z,Threes_Bronze_Ability_SuperSprint,991,369,110
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Wakatoshi,7229,2107,916
2025-09-27T00:00:00.000Z,Fours_Bronze_Ability_RedirectionJump,723,356,95
2025-09-27T00:00:00.000Z,Twos_Gold_Ability_SteelBlock,90,51,32
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Kimiro,11049,3757,1989
2025-09-27T00:00:00.000Z,Sixes_Bronze_Ability_SuperSprint,37,10,0
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_TimeskipToru,40,20,10
2025-09-27T00:00:00.000Z,Threes_Gold_Style_TimeskipShoyo2,82,61,9
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Yu,910,200,79
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Hirugami,2712,954,426
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Hajime,40,10,2
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Rintaro,993,683,101
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Tobio,428,119,24
2025-09-27T00:00:00.000Z,Threes_Gold_Style_Yogan,4,1,0
2025-09-27T00:00:00.000Z,Threes_Gold_Ability_CurveSpike,14,9,3
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Shinsuke,59,12,2
2025-09-27T00:00:00.000Z,Threes_Silver_Style_TeamCaptain,416,282,148
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Koshi,20,0,0
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Mikage,1856,1074,660
2025-09-27T00:00:00.000Z,Sixes_Gold_Style_TimeskipShoyo,6,6,0
2025-09-27T00:00:00.000Z,Fours_Silver_Ability_SuperSprint,68,40,13
2025-09-27T00:00:00.000Z,Twos_Gold_Style_TimeskipTobio,35,24,7
2025-09-27T00:00:00.000Z,Twos_Gold_Ability_TeamSpirit,4,2,1
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Kenma,7,1,0
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Kenma,47,16,6
2025-09-27T00:00:00.000Z,Threes_Bronze_Ability_FourthTouch,2443,1241,436
2025-09-27T00:00:00.000Z,Sixes_Silver_Ability_Moonball,8,6,1
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Kazana,1586,981,505
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Tadashi,1,0,0
2025-09-27T00:00:00.000Z,Fours_Silver_Ability_ZeroGravitySet,171,94,20
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Twin2,312,172,64
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Toru,1150,350,95
2025-09-27T00:00:00.000Z,Threes_Gold_Ability_SteelBlock,15,13,8
2025-09-27T00:00:00.000Z,Fours_Bronze_Ability_MagneticPull,1257,642,196
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Yogan,1675,761,267
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Ryunosuke,20,7,1
2025-09-27T00:00:00.000Z,Sixes_Bronze_Ability_ZeroGravitySet,146,30,2
2025-09-27T00:00:00.000Z,Fours_Silver_Style_TeamCaptain,86,55,28
2025-09-27T00:00:00.000Z,Fours_Gold_Style_TimeskipTobio2,31,29,15
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Mikage,686,479,173
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Kei,59,6,2
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Kenma,2,2,0
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Kenma,248,61,22
2025-09-27T00:00:00.000Z,Twos_Gold_Style_Kei,2,2,2
2025-09-27T00:00:00.000Z,Threes_Bronze_Ability_MagneticPull,5322,2827,1088
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Shinsuke,14,3,1
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Yu,12,6,0
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Daichi,15,4,0
2025-09-27T00:00:00.000Z,Sixes_Silver_Ability_CurveSpike,19,12,1
